group_key,guard,detail
CHLORTALIDONE | TABLET 25 MG,low_uptake,60-day share 4.3% of group volume
"CICLESONIDE | PRESSURISED INHALATION 160 MICROGRAMS PER DOSE, 120 DOSES (CFC-FREE FORMULATION)",low_uptake,60-day share 3.2% of group volume
"CICLESONIDE | PRESSURISED INHALATION 80 MICROGRAMS PER DOSE, 120 DOSES (CFC-FREE FORMULATION)",low_uptake,60-day share 4.1% of group volume
CITALOPRAM | TABLET 10 MG (AS HYDROBROMIDE),low_uptake,60-day share 2.7% of group volume
CITALOPRAM | TABLET 20 MG (AS HYDROBROMIDE),low_uptake,60-day share 3.0% of group volume
CITALOPRAM | TABLET 40 MG (AS HYDROBROMIDE),low_uptake,60-day share 2.6% of group volume
"CITRIC ACID + LAURYL SULFOACETATE SODIUM + SORBITOL | ENEMAS 3.125 G-450 MG-45 MG IN 5 ML, 12",no_substitution,"30-day mean 1510 -> 1679, did not fall"
CLONIDINE | TABLET CONTAINING CLONIDINE HYDROCHLORIDE 100 MICROGRAMS,no_substitution,"30-day mean 34477 -> 36587, did not fall"
CLONIDINE | TABLET CONTAINING CLONIDINE HYDROCHLORIDE 100 MICROGRAMS,low_uptake,60-day share 2.2% of group volume
CLONIDINE | TABLET CONTAINING CLONIDINE HYDROCHLORIDE 150 MICROGRAMS,no_substitution,"30-day mean 6378 -> 6680, did not fall"
CLONIDINE | TABLET CONTAINING CLONIDINE HYDROCHLORIDE 150 MICROGRAMS,low_uptake,60-day share 2.9% of group volume
CLOPIDOGREL + ASPIRIN | TABLET 75 MG (AS HYDROGEN SULFATE)-100 MG,low_uptake,60-day share 4.7% of group volume
CLOPIDOGREL | TABLET 75 MG (AS BESILATE),low_uptake,60-day share 4.3% of group volume
"COLESTYRAMINE | SACHETS CONTAINING 4.7 G ORAL POWDER (EQUIVALENT TO 4 G COLESTYRAMINE), 50",no_substitution,"30-day mean 3702 -> 3734, did not fall"
"COLESTYRAMINE | SACHETS CONTAINING 4.7 G ORAL POWDER (EQUIVALENT TO 4 G COLESTYRAMINE), 50",low_uptake,60-day share 3.6% of group volume
