group_key,guard,detail
RIVAROXABAN | TABLET 10 MG,no_substitution,"30-day mean 16308 -> 16338, did not fall"
RIVAROXABAN | TABLET 10 MG,low_uptake,60-day share 4.8% of group volume
RIVAROXABAN | TABLET 15 MG,low_uptake,60-day share 3.6% of group volume
RIVAROXABAN | TABLET 2.5 MG,no_substitution,"30-day mean 1863 -> 1980, did not fall"
RIVAROXABAN | TABLET 2.5 MG,low_uptake,60-day share 3.0% of group volume
RIVAROXABAN | TABLET 20 MG,low_uptake,60-day share 4.3% of group volume
ROTIGOTINE | TRANSDERMAL PATCH 18 MG,low_uptake,60-day share 4.3% of group volume
ROTIGOTINE | TRANSDERMAL PATCH 4.5 MG,low_uptake,60-day share 3.8% of group volume
ROTIGOTINE | TRANSDERMAL PATCH 9 MG,low_uptake,60-day share 4.4% of group volume
SACUBITRIL + VALSARTAN | TABLET CONTAINING SACUBITRIL 24.3 MG WITH VALSARTAN 25.7 MG,no_substitution,"30-day mean 25208 -> 26441, did not fall"
SACUBITRIL + VALSARTAN | TABLET CONTAINING SACUBITRIL 24.3 MG WITH VALSARTAN 25.7 MG,low_uptake,60-day share 3.8% of group volume
SACUBITRIL + VALSARTAN | TABLET CONTAINING SACUBITRIL 48.6 MG WITH VALSARTAN 51.4 MG,no_substitution,"30-day mean 19302 -> 19432, did not fall"
SACUBITRIL + VALSARTAN | TABLET CONTAINING SACUBITRIL 48.6 MG WITH VALSARTAN 51.4 MG,low_uptake,60-day share 4.0% of group volume
SACUBITRIL + VALSARTAN | TABLET CONTAINING SACUBITRIL 97.2 MG WITH VALSARTAN 102.8 MG,low_uptake,60-day share 4.1% of group volume
SAFINAMIDE | TABLET 100 MG,low_uptake,60-day share 4.9% of group volume
"SALMETEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE 50 MICROGRAMS (AS XINAFOATE) PER DOSE, 60 DOSES",low_uptake,60-day share 3.2% of group volume
SAXAGLIPTIN + METFORMIN | TABLET (MODIFIED RELEASE) CONTAINING 2.5 MG SAXAGLIPTIN (AS HYDROCHLORIDE) WITH 1000 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.0% of group volume
SAXAGLIPTIN | TABLET 2.5 MG (AS HYDROCHLORIDE),low_uptake,60-day share 4.4% of group volume
SAXAGLIPTIN | TABLET 5 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.6% of group volume
SELEGILINE | TABLET CONTAINING SELEGILINE HYDROCHLORIDE 5 MG,low_uptake,60-day share 3.0% of group volume
SERTRALINE | TABLET 100 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.6% of group volume
SERTRALINE | TABLET 50 MG (AS HYDROCHLORIDE),low_uptake,60-day share 2.5% of group volume
SEVELAMER | TABLET CONTAINING SEVELAMER CARBONATE 800 MG,no_substitution,"30-day mean 1261 -> 1348, did not fall"
SIMVASTATIN | TABLET 80 MG,low_uptake,60-day share 5.0% of group volume
"SIROLIMUS | ORAL SOLUTION 1 MG PER ML, 60 ML",no_substitution,"30-day mean 54 -> 57, did not fall"
SITAGLIPTIN + METFORMIN | TABLET (MODIFIED RELEASE) CONTAINING 50 MG SITAGLIPTIN WITH 1000 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.2% of group volume
SITAGLIPTIN + METFORMIN | TABLET CONTAINING 50 MG SITAGLIPTIN WITH 1000 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.0% of group volume
SITAGLIPTIN + METFORMIN | TABLET CONTAINING 50 MG SITAGLIPTIN WITH 500 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.4% of group volume
SITAGLIPTIN + METFORMIN | TABLET CONTAINING 50 MG SITAGLIPTIN WITH 850 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.6% of group volume
SITAGLIPTIN | TABLET 100 MG,low_uptake,60-day share 3.8% of group volume
SITAGLIPTIN | TABLET 25 MG,low_uptake,60-day share 4.2% of group volume
"SOY LECITHIN + TOCOPHEROL + VITAMIN A | EYE SPRAY 10 MG PER ML, 10 ML",no_substitution,"30-day mean 664 -> 728, did not fall"
"SOY LECITHIN + TOCOPHEROL + VITAMIN A | EYE SPRAY 10 MG PER ML, 10 ML",low_uptake,60-day share 3.6% of group volume
SPIRONOLACTONE | TABLET 100 MG,low_uptake,60-day share 2.8% of group volume
SPIRONOLACTONE | TABLET 25 MG,no_substitution,"30-day mean 63066 -> 67672, did not fall"
SPIRONOLACTONE | TABLET 25 MG,low_uptake,60-day share 3.1% of group volume
SULFASALAZINE | TABLET 500 MG,low_uptake,60-day share 2.1% of group volume
SULFASALAZINE | TABLET 500 MG (ENTERIC COATED),low_uptake,60-day share 2.5% of group volume
SULTHIAME | TABLET 200 MG,low_uptake,60-day share 2.9% of group volume
TAMOXIFEN | TABLET 20 MG (AS CITRATE),low_uptake,60-day share 3.2% of group volume
"TERIPARATIDE | INJECTION 250 MICROGRAMS PER ML, 2.4 ML IN MULTI-DOSE PRE-FILLED CARTRIDGE",low_uptake,60-day share 2.5% of group volume
"TERIPARATIDE | INJECTION 250 MICROGRAMS PER ML, 2.4 ML IN MULTI-DOSE PRE-FILLED PEN",no_substitution,"30-day mean 448 -> 728, did not fall"
"TERIPARATIDE | INJECTION 250 MICROGRAMS PER ML, 2.4 ML IN MULTI-DOSE PRE-FILLED PEN",low_uptake,60-day share 2.6% of group volume
"TESTOSTERONE | TRANSDERMAL CREAM 50 MG PER ML, 50 ML",no_substitution,"30-day mean 683 -> 687, did not fall"
TETRABENAZINE | TABLET 25 MG,low_uptake,60-day share 2.1% of group volume
THIAMINE | TABLET CONTAINING THIAMINE HYDROCHLORIDE 100 MG,no_substitution,"30-day mean 5266 -> 5551, did not fall"
THIAMINE | TABLET CONTAINING THIAMINE HYDROCHLORIDE 100 MG,low_uptake,60-day share 3.5% of group volume
TIAGABINE | TABLET 10 MG (AS HYDROCHLORIDE),no_substitution,"30-day mean 23 -> 24, did not fall"
TIAGABINE | TABLET 5 MG (AS HYDROCHLORIDE),low_uptake,60-day share 1.9% of group volume
"TIOTROPIUM + OLODATEROL | SOLUTION FOR ORAL INHALATION CONTAINING TIOTROPIUM 2.5 MICROGRAMS (AS BROMIDE MONOHYDRATE) WITH OLODATEROL 2.5 MICROGRAMS (AS HYDROCHLORIDE) PER DOSE, 60 DOSES",low_uptake,60-day share 2.9% of group volume
TIOTROPIUM | CAPSULE CONTAINING POWDER FOR ORAL INHALATION 13 MICROGRAMS (AS BROMIDE) (FOR USE IN ZONDA DEVICE),low_uptake,60-day share 1.6% of group volume
TIOTROPIUM | CAPSULE CONTAINING POWDER FOR ORAL INHALATION 18 MICROGRAMS (AS BROMIDE MONOHYDRATE) (FOR USE IN HANDIHALER),low_uptake,60-day share 2.5% of group volume
TIOTROPIUM | SOLUTION FOR ORAL INHALATION 2.5 MICROGRAMS (AS BROMIDE MONOHYDRATE) PER ACTUATION (60 ACTUATIONS),low_uptake,60-day share 2.6% of group volume
TOPIRAMATE | CAPSULE 25 MG,no_substitution,"30-day mean 195 -> 202, did not fall"
TOPIRAMATE | CAPSULE 50 MG,no_substitution,"30-day mean 300 -> 304, did not fall"
TOPIRAMATE | TABLET 100 MG,low_uptake,60-day share 3.9% of group volume
TOPIRAMATE | TABLET 25 MG,low_uptake,60-day share 4.3% of group volume
TOPIRAMATE | TABLET 50 MG,low_uptake,60-day share 3.4% of group volume
TRANDOLAPRIL | CAPSULE 1 MG,low_uptake,60-day share 4.9% of group volume
"TRAVOPROST + TIMOLOL | EYE DROPS 40 MICROGRAMS TRAVOPROST WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 2.5 ML",low_uptake,60-day share 2.3% of group volume
"TRAVOPROST | EYE DROPS 40 MICROGRAMS PER ML, 2.5 ML",low_uptake,60-day share 2.5% of group volume
"UMECLIDINIUM + VILANTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING UMECLIDINIUM 62.5 MICROGRAMS (AS BROMIDE) WITH VILANTEROL 25 MICROGRAMS (AS TRIFENATATE) PER DOSE, 30 DOSES",low_uptake,60-day share 2.7% of group volume
"UMECLIDINIUM | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE 62.5 MICROGRAMS (AS BROMIDE) PER DOSE, 30 DOSES",low_uptake,60-day share 2.8% of group volume
VALPROATE | TABLET (ENTERIC COATED) CONTAINING SODIUM VALPROATE 200 MG,low_uptake,60-day share 2.9% of group volume
VALPROATE | TABLET (ENTERIC COATED) CONTAINING SODIUM VALPROATE 500 MG,low_uptake,60-day share 2.5% of group volume
"VALPROATE | TABLET, CRUSHABLE, CONTAINING SODIUM VALPROATE 100 MG",low_uptake,60-day share 4.8% of group volume
VENLAFAXINE | CAPSULE (MODIFIED RELEASE) 150 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.8% of group volume
VENLAFAXINE | CAPSULE (MODIFIED RELEASE) 75 MG (AS HYDROCHLORIDE),low_uptake,60-day share 2.6% of group volume
VERAPAMIL | TABLET CONTAINING VERAPAMIL HYDROCHLORIDE 80 MG,low_uptake,60-day share 3.4% of group volume
VILDAGLIPTIN + METFORMIN | TABLET CONTAINING 50 MG VILDAGLIPTIN WITH 1000 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 2.8% of group volume
VILDAGLIPTIN + METFORMIN | TABLET CONTAINING 50 MG VILDAGLIPTIN WITH 500 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.6% of group volume
VILDAGLIPTIN + METFORMIN | TABLET CONTAINING 50 MG VILDAGLIPTIN WITH 850 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.4% of group volume
VILDAGLIPTIN | TABLET 50 MG,low_uptake,60-day share 2.7% of group volume
ZONISAMIDE | CAPSULE 100 MG,low_uptake,60-day share 4.9% of group volume
ZONISAMIDE | CAPSULE 25 MG,no_substitution,"30-day mean 238 -> 239, did not fall"
