event_time,estimate,se,ci_lo,ci_hi,outcome,control_arm,window
-4,-0.04658451802234703,0.07153688190300503,-0.18679680655223688,0.09362777050754281,log_supply,nevertreated,from 2021-09
-3,0.005412579319704541,0.05681701256774365,-0.10594876531307301,0.1167739239524821,log_supply,nevertreated,from 2021-09
-2,0.03982326461597126,0.049693600701955574,-0.05757619275986167,0.1372227219918042,log_supply,nevertreated,from 2021-09
-1,0,NA,NA,NA,log_supply,nevertreated,from 2021-09
0,-0.05248256324861079,0.0723753503849323,-0.19433825000307808,0.08937312350585652,log_supply,nevertreated,from 2021-09
1,-0.029018342155822406,0.07668258346153231,-0.17931620574042573,0.1212795214287809,log_supply,nevertreated,from 2021-09
2,0.10305034512419188,0.057697829193079746,-0.01003740009424442,0.21613809034262818,log_supply,nevertreated,from 2021-09
3,0.09465455730224015,0.06472612018324876,-0.03220863825692741,0.2215177528614077,log_supply,nevertreated,from 2021-09
4,-0.013834990079719459,0.1107189254964589,-0.2308440840527789,0.20317410389333995,log_supply,nevertreated,from 2021-09
5,0.08942065813949454,0.1154094092147663,-0.1367817839214474,0.3156231002004365,log_supply,nevertreated,from 2021-09
6,-0.017915741881032475,0.11140847224118304,-0.23627634747375123,0.20044486371168627,log_supply,nevertreated,from 2021-09
7,-0.051779365042508206,0.11029966068192965,-0.2679666999790903,0.16440796989407389,log_supply,nevertreated,from 2021-09
8,-0.1627965720332025,0.10762269066651266,-0.37373704573956734,0.04814390167316232,log_supply,nevertreated,from 2021-09
9,-0.19060928543498254,0.10580372963169818,-0.39798459551311094,0.016766024643145888,log_supply,nevertreated,from 2021-09
10,-0.17128954881617733,0.1109152094477981,-0.3886833593338616,0.04610426170150694,log_supply,nevertreated,from 2021-09
11,-0.12376783071789219,0.12631611313983815,-0.37134741247197495,0.12381175103619058,log_supply,nevertreated,from 2021-09
12,-0.06039511540072786,0.12362313910141302,-0.3026964680394974,0.18190623723804167,log_supply,nevertreated,from 2021-09
